Transaction ID,Date,Description,Counterparty,Amount,Method
T1020,2026-01-29,POS batch deposit - beverage sales week 4,Toast POS,$5137.73,Bank deposit
T1021,2026-01-29,Catering invoice payment week 4,Corporate Catering Client,$2384.22,ACH deposit
T1049,2026-01-29,Payroll taxes and benefits,Gusto Payroll,-$1743.42,ACH
T1022,2026-01-30,Delivery marketplace payout week 4,DoorDash/Uber Eats,$5252.33,ACH deposit
T1023,2026-01-30,Refunds and discounts week 4,Toast POS,-$440.94,POS adjustment
T1024,2026-01-31,Delivery platform commission week 4,DoorDash/Uber Eats,-$1204.51,Marketplace deduction
T1025,2026-01-31,POS batch deposit - food sales week 5,Toast POS,$7920.72,Bank deposit
T1026,2026-01-31,POS batch deposit - beverage sales week 5,Toast POS,$2399.76,Bank deposit
T1027,2026-01-31,Catering invoice payment week 5,Corporate Catering Client,$673.73,ACH deposit
T1028,2026-01-31,Delivery marketplace payout week 5,DoorDash/Uber Eats,$1936.02,ACH deposit
T1029,2026-01-31,Refunds and discounts week 5,Toast POS,-$607.83,POS adjustment
T1030,2026-01-31,Delivery platform commission week 5,DoorDash/Uber Eats,-$496.05,Marketplace deduction
T1040,2026-01-31,Food inventory purchase - Bakery Supply,Bakery Supply,-$3894.88,ACH/card
T1107,2026-02-01,Rent,Landlord,-$9000.00,ACH
T1087,2026-02-03,Food inventory purchase - Sysco,Sysco,-$4797.20,ACH/card
T1108,2026-02-04,POS/software subscription,Toast,-$875.00,ACH/card
T1109,2026-02-05,Insurance premium,Next Insurance,-$1250.00,ACH
T1088,2026-02-06,Food inventory purchase - US Foods,US Foods,-$4119.59,ACH/card
T1097,2026-02-06,Beverage inventory purchase - Southern Glazer's,Southern Glazer's,-$3316.87,ACH/card
T1110,2026-02-07,Accounting/bookkeeping,LedgerPro Bookkeeping,-$650.00,ACH
T1063,2026-02-08,POS batch deposit - food sales week 1,Toast POS,$19049.34,Bank deposit
T1064,2026-02-08,POS batch deposit - beverage sales week 1,Toast POS,$5539.24,Bank deposit
T1065,2026-02-08,Catering invoice payment week 1,Corporate Catering Client,$1044.81,ACH deposit
T1100,2026-02-08,To-go packaging and disposables,Restaurant Depot,-$1004.61,Card
T1066,2026-02-09,Delivery marketplace payout week 1,DoorDash/Uber Eats,$5726.56,ACH deposit
T1067,2026-02-09,Refunds and discounts week 1,Toast POS,-$490.41,POS adjustment
T1111,2026-02-09,Internet and phone,Comcast Business,-$420.00,Card
T1068,2026-02-10,Delivery platform commission week 1,DoorDash/Uber Eats,-$1282.59,Marketplace deduction
T1089,2026-02-10,Food inventory purchase - Local Produce Co.,Local Produce Co.,-$4029.59,ACH/card
T1117,2026-02-11,Gift card sales deposit,Toast POS,$2400.00,Bank deposit
T1112,2026-02-12,Utilities - electric/gas/water,City Utilities,-$2086.30,ACH
T1090,2026-02-13,Food inventory purchase - Butcher & Sons,Butcher & Sons,-$3406.70,ACH/card
T1069,2026-02-15,POS batch deposit - food sales week 2,Toast POS,$19518.56,Bank deposit
T1070,2026-02-15,POS batch deposit - beverage sales week 2,Toast POS,$6299.96,Bank deposit
T1071,2026-02-15,Catering invoice payment week 2,Corporate Catering Client,$2439.71,ACH deposit
T1102,2026-02-15,Payroll - hourly kitchen and FOH wages,Gusto Payroll,-$17375.90,ACH
T1072,2026-02-16,Delivery marketplace payout week 2,DoorDash/Uber Eats,$4956.41,ACH deposit
T1073,2026-02-16,Refunds and discounts week 2,Toast POS,-$524.73,POS adjustment
T1091,2026-02-16,Food inventory purchase - Bakery Supply,Bakery Supply,-$3834.43,ACH/card
T1098,2026-02-16,Beverage inventory purchase - Craft Beer Distributor,Craft Beer Distributor,-$2074.10,ACH/card
T1103,2026-02-16,Payroll taxes and benefits,Gusto Payroll,-$2116.96,ACH
T1113,2026-02-16,Cleaning and linen service,LinenPro,-$1025.54,ACH
T1074,2026-02-17,Delivery platform commission week 2,DoorDash/Uber Eats,-$1353.50,Marketplace deduction
T1092,2026-02-18,Food inventory purchase - Sysco,Sysco,-$4272.82,ACH/card
T1114,2026-02-18,Marketing - local ads,Meta/Google/Yelp,-$2383.96,Card
T1093,2026-02-21,Food inventory purchase - US Foods,US Foods,-$4276.96,ACH/card
T1118,2026-02-21,Loan principal repayment,Bank Loan,-$3500.00,ACH
T1075,2026-02-22,POS batch deposit - food sales week 3,Toast POS,$18642.84,Bank deposit
T1076,2026-02-22,POS batch deposit - beverage sales week 3,Toast POS,$5668.59,Bank deposit
T1077,2026-02-22,Catering invoice payment week 3,Corporate Catering Client,$737.83,ACH deposit
T1101,2026-02-22,To-go packaging and disposables,Restaurant Depot,-$763.85,Card
T1115,2026-02-22,Repairs and maintenance,Kitchen Repair Co.,-$2142.27,Card
T1078,2026-02-23,Delivery marketplace payout week 3,DoorDash/Uber Eats,$5648.49,ACH deposit
T1079,2026-02-23,Refunds and discounts week 3,Toast POS,-$538.64,POS adjustment
T1080,2026-02-24,Delivery platform commission week 3,DoorDash/Uber Eats,-$1495.84,Marketplace deduction
T1099,2026-02-24,Beverage inventory purchase - Beverage Depot,Beverage Depot,-$2971.53,ACH/card
T1094,2026-02-25,Food inventory purchase - Local Produce Co.,Local Produce Co.,-$4528.94,ACH/card
T1116,2026-02-25,Office/admin supplies,Staples/Amazon,-$502.18,Card
T1081,2026-02-28,POS batch deposit - food sales week 4,Toast POS,$17948.13,Bank deposit
T1082,2026-02-28,POS batch deposit - beverage sales week 4,Toast POS,$6324.30,Bank deposit
T1083,2026-02-28,Catering invoice payment week 4,Corporate Catering Client,$2048.20,ACH deposit
T1084,2026-02-28,Delivery marketplace payout week 4,DoorDash/Uber Eats,$5976.52,ACH deposit
T1085,2026-02-28,Refunds and discounts week 4,Toast POS,-$398.42,POS adjustment
T1086,2026-02-28,Delivery platform commission week 4,DoorDash/Uber Eats,-$1491.81,Marketplace deduction
T1095,2026-02-28,Food inventory purchase - Butcher & Sons,Butcher & Sons,-$2623.50,ACH/card
T1096,2026-02-28,Food inventory purchase - Bakery Supply,Bakery Supply,-$2758.66,ACH/card
T1104,2026-02-28,Payroll - hourly kitchen and FOH wages,Gusto Payroll,-$17022.99,ACH
T1105,2026-02-28,Payroll taxes and benefits,Gusto Payroll,-$1855.14,ACH
T1106,2026-02-28,Manager salary payroll,Gusto Payroll,-$6500.00,ACH
T1169,2026-03-01,Rent,Landlord,-$9000.00,ACH
T1149,2026-03-03,Food inventory purchase - Sysco,Sysco,-$3246.78,ACH/card
T1170,2026-03-04,POS/software subscription,Toast,-$875.00,ACH/card
T1171,2026-03-05,Insurance premium,Next Insurance,-$1250.00,ACH
T1179,2026-03-06,Large catering event food purchase,Sysco,-$6200.00,ACH
T1150,2026-03-07,Food inventory purchase - US Foods,US Foods,-$2597.10,ACH/card
T1159,2026-03-07,Beverage inventory purchase - Southern Glazer's,Southern Glazer's,-$3358.84,ACH/card
T1172,2026-03-07,Accounting/bookkeeping,LedgerPro Bookkeeping,-$650.00,ACH
T1119,2026-03-08,POS batch deposit - food sales week 1,Toast POS,$20350.64,Bank deposit
T1120,2026-03-08,POS batch deposit - beverage sales week 1,Toast POS,$6801.35,Bank deposit
T1121,2026-03-08,Catering invoice payment week 1,Corporate Catering Client,$797.87,ACH deposit
T1162,2026-03-08,To-go packaging and disposables,Restaurant Depot,-$1049.56,Card
T1122,2026-03-09,Delivery marketplace payout week 1,DoorDash/Uber Eats,$5667.06,ACH deposit
T1123,2026-03-09,Refunds and discounts week 1,Toast POS,-$764.35,POS adjustment
T1151,2026-03-09,Food inventory purchase - Local Produce Co.,Local Produce Co.,-$4407.12,ACH/card
T1173,2026-03-09,Internet and phone,Comcast Business,-$420.00,Card
T1124,2026-03-10,Delivery platform commission week 1,DoorDash/Uber Eats,-$1521.08,Marketplace deduction
T1152,2026-03-12,Food inventory purchase - Butcher & Sons,Butcher & Sons,-$2756.47,ACH/card
T1174,2026-03-12,Utilities - electric/gas/water,City Utilities,-$2101.38,ACH
T1160,2026-03-14,Beverage inventory purchase - Craft Beer Distributor,Craft Beer Distributor,-$1946.77,ACH/card
T1125,2026-03-15,POS batch deposit - food sales week 2,Toast POS,$19069.41,Bank deposit
T1126,2026-03-15,POS batch deposit - beverage sales week 2,Toast POS,$6395.86,Bank deposit
T1127,2026-03-15,Catering invoice payment week 2,Corporate Catering Client,$2501.50,ACH deposit
T1153,2026-03-15,Food inventory purchase - Bakery Supply,Bakery Supply,-$3260.32,ACH/card
T1164,2026-03-15,Payroll - hourly kitchen and FOH wages,Gusto Payroll,-$19455.95,ACH
T1128,2026-03-16,Delivery marketplace payout week 2,DoorDash/Uber Eats,$5260.62,ACH deposit
T1129,2026-03-16,Refunds and discounts week 2,Toast POS,-$666.78,POS adjustment
T1165,2026-03-16,Payroll taxes and benefits,Gusto Payroll,-$2304.89,ACH
T1175,2026-03-16,Cleaning and linen service,LinenPro,-$1064.65,ACH
T1130,2026-03-17,Delivery platform commission week 2,DoorDash/Uber Eats,-$1414.90,Marketplace deduction
T1154,2026-03-18,Food inventory purchase - Sysco,Sysco,-$5272.24,ACH/card
T1176,2026-03-18,Marketing - local ads,Meta/Google/Yelp,-$2293.06,Card
T1180,2026-03-19,Owner distribution,Owner,-$5000.00,ACH
T1155,2026-03-21,Food inventory purchase - US Foods,US Foods,-$4170.16,ACH/card
T1131,2026-03-22,POS batch deposit - food sales week 3,Toast POS,$21701.54,Bank deposit
T1132,2026-03-22,POS batch deposit - beverage sales week 3,Toast POS,$6873.53,Bank deposit
T1133,2026-03-22,Catering invoice payment week 3,Corporate Catering Client,$804.75,ACH deposit
T1163,2026-03-22,To-go packaging and disposables,Restaurant Depot,-$1078.24,Card
T1177,2026-03-22,Repairs and maintenance,Kitchen Repair Co.,-$1293.31,Card
T1134,2026-03-23,Delivery marketplace payout week 3,DoorDash/Uber Eats,$6091.44,ACH deposit
T1135,2026-03-23,Refunds and discounts week 3,Toast POS,-$749.54,POS adjustment
T1136,2026-03-24,Delivery platform commission week 3,DoorDash/Uber Eats,-$1400.47,Marketplace deduction
T1161,2026-03-24,Beverage inventory purchase - Beverage Depot,Beverage Depot,-$2613.48,ACH/card
T1181,2026-03-24,Annual license renewal,City Business Licensing,-$900.00,ACH
T1156,2026-03-25,Food inventory purchase - Local Produce Co.,Local Produce Co.,-$4664.04,ACH/card
T1178,2026-03-25,Office/admin supplies,Staples/Amazon,-$298.26,Card
T1157,2026-03-27,Food inventory purchase - Butcher & Sons,Butcher & Sons,-$4250.16,ACH/card
T1166,2026-03-28,Payroll - hourly kitchen and FOH wages,Gusto Payroll,-$20297.75,ACH
T1168,2026-03-28,Manager salary payroll,Gusto Payroll,-$6500.00,ACH
T1137,2026-03-29,POS batch deposit - food sales week 4,Toast POS,$20096.63,Bank deposit
T1138,2026-03-29,POS batch deposit - beverage sales week 4,Toast POS,$6994.47,Bank deposit
T1139,2026-03-29,Catering invoice payment week 4,Corporate Catering Client,$2981.88,ACH deposit
T1167,2026-03-29,Payroll taxes and benefits,Gusto Payroll,-$2171.22,ACH
T1140,2026-03-30,Delivery marketplace payout week 4,DoorDash/Uber Eats,$6476.35,ACH deposit
T1141,2026-03-30,Refunds and discounts week 4,Toast POS,-$675.78,POS adjustment
T1142,2026-03-30,Delivery platform commission week 4,DoorDash/Uber Eats,-$1692.87,Marketplace deduction
T1143,2026-03-31,POS batch deposit - food sales week 5,Toast POS,$8895.84,Bank deposit
T1144,2026-03-31,POS batch deposit - beverage sales week 5,Toast POS,$2852.00,Bank deposit
T1145,2026-03-31,Catering invoice payment week 5,Corporate Catering Client,$1074.99,ACH deposit
T1146,2026-03-31,Delivery marketplace payout week 5,DoorDash/Uber Eats,$2435.14,ACH deposit
T1147,2026-03-31,Refunds and discounts week 5,Toast POS,-$731.35,POS adjustment
T1148,2026-03-31,Delivery platform commission week 5,DoorDash/Uber Eats,-$601.70,Marketplace deduction
T1158,2026-03-31,Food inventory purchase - Bakery Supply,Bakery Supply,-$3305.16,ACH/card
